player_name,season,mp,raptor_offense,raptor_defense
Jared Dudley,2020,395,-2.47,1.99
Jared Dudley,2021,86,-2.92,2.04
David Duke Jr.,2022,341,-1.6,-1.64
Kris Dunn,2020,1269,-1.69,4.15
Kris Dunn,2021,78,-10.01,1.36
Kris Dunn,2022,336,-1.37,0.13
Kevin Durant,2021,1642,4.65,0.35
Kevin Durant,2022,2223,4.45,0.05
Jaime Echenique,2022,3,-12.89,10.77
Anthony Edwards,2021,2314,-0.53,-2.79
Anthony Edwards,2022,2693,1.75,0.05
Carsen Edwards,2020,354,-5.04,-0.08
Carsen Edwards,2021,281,-1.12,-2.49
Carsen Edwards,2022,79,-1.86,-3.01
Kessler Edwards,2022,994,-2.02,-1.86
Rob Edwards,2022,11,-8.32,3.9
CJ Elleby,2021,200,-3.06,-0.31
CJ Elleby,2022,1174,-3.14,-2.27
Henry Ellenson,2020,15,-7.05,17.99
Henry Ellenson,2021,38,-3.09,2.08
Wayne Ellington,2020,558,-0.49,0.43
Wayne Ellington,2021,1012,1.75,-1.76
Wayne Ellington,2022,810,-1.29,-0.88
Joel Embiid,2020,1651,0.68,3.37
Joel Embiid,2021,1942,3.77,4.59
Joel Embiid,2022,2682,3.62,4.16
James Ennis III,2020,1384,-0.73,-0.66
James Ennis III,2021,986,-0.05,0.3
James Ennis III,2022,56,-0.16,-2.17
Drew Eubanks,2020,272,-2.77,-1.59
Drew Eubanks,2021,755,-2.36,1.97
Drew Eubanks,2022,1245,-2.52,-1.56
Jacob Evans,2020,418,-5.52,-0.79
Dante Exum,2020,485,-2.0,0.45
Dante Exum,2021,116,-3.89,6.43
Tacko Fall,2020,36,-4.6,0.98
Tacko Fall,2021,137,0.22,4.92
Tacko Fall,2022,59,-3.51,4.19
Derrick Favors,2020,1243,0.7,2.66
Derrick Favors,2021,1184,-0.66,1.09
Derrick Favors,2022,653,-3.66,1.93
Cristiano Felicio,2020,386,-0.99,-5.54
Cristiano Felicio,2021,84,0.38,9.41
Terrance Ferguson,2020,1299,-3.98,-0.19
Terrance Ferguson,2021,49,-11.35,-6.58
Bruno Fernando,2020,713,-3.08,-0.62
Bruno Fernando,2021,238,-7.86,-1.25
Bruno Fernando,2022,152,-2.93,1.75
Yogi Ferrell,2020,530,-1.31,1.46
Yogi Ferrell,2021,151,0.45,1.56
Dorian Finney-Smith,2020,2311,0.07,0.84
Dorian Finney-Smith,2021,2192,0.84,0.97
Dorian Finney-Smith,2022,3332,0.96,0.58
Malik Fitts,2021,11,-4.97,-12.74
Malik Fitts,2022,79,-1.81,-1.78
Malachi Flynn,2021,928,-1.45,0.61
Malachi Flynn,2022,573,-0.26,0.13
Bryn Forbes,2020,1579,0.01,-3.39
Bryn Forbes,2021,1627,0.54,-4.06
Bryn Forbes,2022,1362,-0.13,-3.49
Aleem Ford,2022,74,-7.29,-2.48
Trent Forrest,2021,312,-2.33,-4.64
Trent Forrest,2022,765,-0.98,0.54
Evan Fournier,2020,2247,1.14,-0.69
Evan Fournier,2021,1426,1.76,-1.7
Evan Fournier,2022,2358,0.76,-1.84
De'Aaron Fox,2020,1634,2.46,-2.02
De'Aaron Fox,2021,2036,3.17,-2.67
De'Aaron Fox,2022,2083,1.88,-2.6
Robert Franks,2021,101,1.86,-4.58
Melvin Frazier Jr.,2020,126,-4.57,-2.83
Melvin Frazier Jr.,2022,120,-10.11,-9.57
Michael Frazier,2020,157,-8.65,-5.84
Tim Frazier,2020,355,-3.41,2.07
Tim Frazier,2021,62,-9.14,3.3
Tim Frazier,2022,208,-5.9,0.81
Markelle Fultz,2020,2143,-0.84,-1.52
Markelle Fultz,2021,215,-1.89,-7.11
Markelle Fultz,2022,360,0.51,1.64
Wenyen Gabriel,2020,288,-2.81,1.81
Wenyen Gabriel,2021,241,-1.56,2.94
Wenyen Gabriel,2022,358,0.96,-2.94
Daniel Gafford,2020,609,-2.62,0.93
Daniel Gafford,2021,908,1.81,2.04
Daniel Gafford,2022,1444,0.37,-0.68
